RACE,POP_ESTIMATE,POP_ERROR,PERCENT,PERCENT_ERROR
            White,33432.00,"±2,153",0.57,±3.1
            Black or African American,7398.00,"±1,424",0.13,±2.2
            American Indian and Alaska Native,484.00,±249,0.01,±0.4
                Cherokee tribal grouping,70.00,±80,0.00,±0.1
                Chippewa tribal grouping,0.00,±35,0.00,±0.1
                Navajo tribal grouping,122.00,±172,0.00,±0.3
                Sioux tribal grouping,0.00,±35,0.00,±0.1
            Asian,6511.00,"±1,229",0.11,±1.9
                Asian Indian,526.00,±403,0.01,±0.7
                Chinese,159.00,±127,0.00,±0.2
                Filipino,440.00,±326,0.01,±0.5
                Japanese,29.00,±28,0.00,±0.1
                Korean,466.00,±321,0.01,±0.5
                Vietnamese,1937.00,±636,0.03,±1.1
                Other Asian,2954.00,±991,0.05,±1.6
            Native Hawaiian and Other Pacific Islander,35.00,±57,0.00,±0.1
                Chamorro,0.00,±35,0.00,±0.1
                Native Hawaiian,35.00,±57,0.00,±0.1
                Samoan,0.00,±35,0.00,±0.1
                Other Native Hawaiian and Other Pacific Islander,0.00,±35,0.00,±0.1
            Some Other Race,5608.00,"±1,091",0.10,±1.8
            White and Black or African American,763.00,±246,0.01,±0.4
            White and American Indian and Alaska Native,305.00,±169,0.01,±0.3
            White and Asian,627.00,±240,0.01,±0.4
            White and Some Other Race,3174.00,±753,0.05,±1.3
            Black or African American and American Indian and Alaska Native,0.00,±35,0.00,±0.1
            Black or African American and Some Other Race,63.00,±63,0.00,±0.1
